India/ State/ UT,Projected Population by Age Group - Overall - Age 3-5 - Boys,Projected Population by Age Group - Overall - Age 3-5 - Girls,Projected Population by Age Group - Overall - Age 3-5 - Total,Projected Population by Age Group - Overall - Age 6-10 - Boys,Projected Population by Age Group - Overall - Age 6-10 - Girls,Projected Population by Age Group - Overall - Age 6-10 - Total,Projected Population by Age Group - Overall - Age 11-13 - Boys,Projected Population by Age Group - Overall - Age 11-13 - Girls,Projected Population by Age Group - Overall - Age 11-13 - Total,Projected Population by Age Group - Overall - Age 6-13 - Boys,Projected Population by Age Group - Overall - Age 6-13 - Girls,Projected Population by Age Group - Overall - Age 6-13 - Total,Projected Population by Age Group - Overall - Age 14-15 - Boys,Projected Population by Age Group - Overall - Age 14-15 - Girls,Projected Population by Age Group - Overall - Age 14-15 - Total,Projected Population by Age Group - Overall - Age 16-17 - Boys,Projected Population by Age Group - Overall - Age 16-17 - Girls,Projected Population by Age Group - Overall - Age 16-17 - Total,Total students,Total Schools - Govt.,Student_gov_school_ratio
India,44559933,39955000,84515733,62147000,55998000,118144200,37063400,34386200,71448400,99210400,90384200,189592600,25461400,23438800,48900200,26142600,23913600,50056400,1125318066,1032049,1090.37271098562
Andaman and Nicobar Islands,12852,12135,24987,19636,17890,37526,12551,11728,24279,32187,29618,61805,8952,7848,16800,9065,7981,17046,364886,342,1066.91812865497
Andhra Pradesh,1342933,1233333,2576067,1917200,1775600,3693400,1163800,1114800,2278800,3081000,2890400,5972200,824000,782400,1606400,863400,814800,1678600,35609133,45145,788.772466496844
Arunachal Pradesh,44100,41478,85578,69310,66166,135476,50366,49581,99948,119677,115748,235424,34770,33921,68691,32052,31396,63448,1377130,3061,449.895459000327
Assam,1152800,1058267,2211267,1611200,1501600,3113000,1022400,995200,2018400,2633600,2496800,5131400,688400,663600,1352000,695800,666400,1361400,30373534,46749,649.71515968256
Bihar,5248933,4725467,9974933,7255200,6655400,13911800,4308200,4140000,8447600,11563400,10795400,22359400,2854400,2687400,5542600,2858400,2645400,5503600,131477533,75555,1740.15661438687
Chandigarh,40691,34751,75443,61292,48817,110109,37811,29155,66966,99103,77972,177075,27219,20242,47461,29681,21441,51122,1056351,121,8730.17355371901
Chhattisgarh,1042067,985800,2026867,1412400,1346000,2759000,806000,780800,1586000,2218400,2126800,4345000,548400,531400,1079800,558800,541200,1100000,25794734,48619,530.548427569469
Dadra and Nagar Haveli and Daman and Diu,26225,23494,49719,35240,30231,65470,20457,17663,38120,55696,47894,103590,13670,10626,24295,15886,10177,26063,614516,407,1509.86732186732
Delhi,571867,486600,1058333,820200,689200,1509000,498400,424600,922200,1318600,1113800,2431200,352400,303000,655400,368200,317400,686600,14527000,2751,5280.62522719011
