Sl. No.,State/UT,Number of Universities
1,Andaman and Nicobar Islands,0
2,Andhra Pradesh,41
3,Arunachal Pradesh,10
4,Assam,26
5,Bihar,35
6,Chandigarh,3
7,Chhattisgarh,28
8,Dadra & Nagar Haveli,0
9,Daman & Diu,0
10,Delhi,28
11,Goa,3
12,Gujarat,76
13,Haryana,53
14,Himachal Pradesh,27
15,Jammu & Kashmir,15
16,Jharkhand,32
17,Karnataka,69
18,Kerala,23
19,Ladakh,1
20,Lakshadweep,0
21,Madhya Pradesh,66
22,Maharashtra,65
23,Manipur,8
24,Meghalaya,10
25,Mizoram,3
26,Nagaland,5
27,Odisha,32
28,Puducherry,4
29,Punjab,32
30,Rajasthan,89
31,Sikkim,8
32,Tamil Nadu,59
33,Telangana,24
34,Tripura,4
35,Uttar Pradesh,81
36,Uttarakhand,36
37,West Bengal,47
Total,Total,1043
