Sl. No.,Country,2019,2020,2021,2022,2023,2024
1,Tanzania,NA,NA,NA,NA,24,28
2,Kenya,NA,NA,NA,NA,NA,550
3,Sri Lanka,NA,50,38,45,60,65
4,Belgium,547,764,676,1035,967,970
5,Luxembourg,84,98,91,125,108,125
6,Nepal,NA,NA,NA,NA,NA,2134
7,Bulgaria,NA,350,357,353,466,466
8,South Africa,NA,192,205,187,175,387
9,Namibia,NA,NA,NA,NA,NA,1
10,Serbia,15,15,20,20,350,500
11,Estonia,NA,NA,NA,139,114,119
12,Germany,29872,35147,41486,66118,24474,42997
13,Italy,6955,4634,8856,9326,5196,6017
14,UK,58780,90300,136700,12000,NA,185000
15,Russia,12500,14370,16984,21511,25278,24940
16,Columbia,NA,NA,NA,1,1,1
17,Croatia,NA,NA,NA,NA,NA,20
18,Canada,218520,179480,216360,318380,427085,427000
19,Cuba,NA,NA,NA,NA,NA,1
20,Jamaica,NA,NA,NA,NA,NA,200
21,Argentina,10,10,NA,3,3,3
22,Chile,NA,NA,NA,NA,NA,32
23,Guyana,NA,NA,NA,NA,NA,400
24,USA,193124,167582,199182,268923,351106,337630
25,Oman,NA,NA,430,NA,NA,600
26,Guatemala,NA,NA,NA,NA,NA,1
27,Egypt,NA,NA,NA,NA,1049,1049
28,Saudi Arabia,NA,NA,NA,NA,NA,891
29,Iran,NA,NA,1750,1063,1020,1020
30,Venezuela,345,203,229,93,NA,NA
31,Czech Republic,966,1180,1530,1825,2058,1815
32,Fiji,NA,NA,NA,NA,NA,2
33,China,15207,2950,11636,3213,7858,8580
34,Hong Kong,NA,1008,948,714,580,553
35,New Zealand,NA,NA,NA,NA,NA,7300
36,Uzbekistan,NA,50,150,2500,5500,4100
37,South Korea,NA,1160,1241,1572,1658,1985
38,Cyprus,2308,1961,NA,1395,4352,4352
39,Australia,115094,115137,97613,96000,124829,122202
40,Vietnam,NA,2,NA,NA,1,93
41,Greece,12,26,21,15,8,8
42,Armenia,NA,2200,2023,1740,3450,3000
43,Georgia,NA,5992,8969,11197,16254,16093
44,Thailand,403,470,401,413,420,413
45,Indonesia,7,NA,NA,2,7,6
46,Seychelles,NA,NA,NA,NA,NA,14
47,Vietnam,NA,NA,NA,NA,NA,290
48,Lebanon,5,5,5,21,39,39
49,Bhutan,NA,6,2,2,1,3
50,Mongolia,NA,NA,NA,NA,NA,4
51,Kazakhstan,3500,4080,5300,4855,9785,9785
52,Azerbaijan,NA,NA,176,197,450,450
53,Taiwan,2783,2239,2995,2606,2536,3029
54,Mauritius,NA,700,850,3278,3221,3216
55,Brunei,9,23,32,30,20,20
56,Japan,700,700,700,700,700,1532
57,Slovakia,NA,NA,NA,NA,NA,180
58,Iceland,26,26,26,26,26,23
59,Turkey,NA,51,54,84,153,327
60,Qatar,NA,NA,NA,NA,NA,209
61,Malaysia,NA,NA,3577,3569,4412,4029
62,Kyrgyz Republic,NA,865,15162,14728,16500,16500
63,Reunion Island,NA,2,NA,NA,NA,1
64,Zambia,NA,NA,NA,NA,NA,50
65,Ireland,NA,NA,NA,NA,NA,7000
66,Spain,1093,675,1222,1428,1400,1259
67,Slovenia,8,60,36,130,157,157
68,Tajikistan,1330,1235,1219,1126,937,1350
69,Belarus,NA,963,1069,1054,931,839
70,UAE,NA,NA,325421,NA,247325,25000
71,Brazil,3,6,3,4,7,8
72,Malawi,NA,NA,NA,NA,NA,14
73,Trinidad and Tobago,7,7,7,5,5,1
74,Portugal,NA,NA,NA,NA,NA,1139
75,Austria,NA,NA,NA,NA,NA,450
76,Ukraine,NA,18429,18095,23515,11987,2510
77,Botswana,NA,NA,NA,NA,NA,34
78,Denmark,NA,541,574,574,509,509
79,Poland,NA,4500,4500,5000,5000,4000
80,Bahrain,NA,NA,406,NA,NA,406
81,Philippines,NA,13227,17242,9665,NA,9665
82,France,NA,NA,NA,NA,NA,9500
83,Finland,NA,978,1054,1450,NA,2645
84,Hungary,1687,1765,1876,2100,441,1098
85,Switzerland,852,689,876,1447,2802,1991
86,Romania,75,NA,86,126,157,126
87,Moldova,560,600,700,847,1141,847
88,Albania,NA,NA,NA,63,NA,63
89,Suriname,NA,NA,NA,NA,NA,250
90,Barbados,116,131,100,124,130,NA
91,St Lucia,323,250,220,220,220,NA
92,Netherlands,3163,3138,3307,3478,3512,3504
93,Sweden,2400,2173,2160,2401,NA,1500
94,Latvia,2152,1702,1754,2643,NA,2750
95,Bangladesh,NA,NA,NA,NA,NA,8534
96,Lithuania,NA,NA,NA,NA,NA,1029
97,Singapore,NA,NA,NA,NA,NA,2000
98,Israel,NA,NA,NA,NA,NA,900
99,Malta,NA,NA,NA,NA,NA,600
100,Norway,NA,NA,NA,NA,NA,484
101,Antigua and Barbuda,NA,NA,NA,NA,NA,240
102,Belize,NA,NA,NA,NA,NA,43
103,St. Kits and Nevis,NA,NA,NA,NA,NA,35
104,Bosnia and Herzegovina,NA,NA,NA,NA,NA,22
105,Pakistan,NA,NA,NA,NA,NA,14
106,Costa Rica,NA,NA,NA,NA,NA,8
107,Liechtenstein,NA,NA,NA,NA,NA,2
108,Macedonia,NA,NA,NA,NA,NA,2
Total,Total,675541,685097,1158702,907404,1318955,1335878
